T_source_in,T_source_out,P_source_bar,flow_source_kg_s,T_sink_in,T_sink_out,P_sink_bar,Energy_kWh,COP,P_comp_W,Q_evap_W,Q_cond_W,P_comp_kW,Q_evap_kW,Q_cond_kW
57.065832627928444,20.0,2.0,2.0,60.0,90.0,2.0,1004.802375314684,1.4459807016822934,694893.3510285922,-309909.0242860918,-1004802.375314684,694.8933510285922,-309.9090242860918,-1004.802375314684
58.52658539296664,20.0,2.0,2.0,60.0,90.0,2.0,1000.8334532548938,1.4746299876199436,678701.4109690265,-322132.0422858671,-1000833.4532548938,678.7014109690265,-322.1320422858671,-1000.8334532548938
59.7090110188077,20.0,2.0,2.0,60.0,90.0,2.0,997.4048359914167,1.4990061452927284,665377.4163124874,-332027.41967892926,-997404.8359914167,665.3774163124874,-332.0274196789293,-997.4048359914167
59.92111291162695,20.0,2.0,2.0,60.0,90.0,2.0,996.3711521264253,1.5038007722743594,662568.5865418903,-333802.56558453507,-996371.1521264253,662.5685865418902,-333.80256558453505,-996.3711521264253
59.2792646264794,20.0,2.0,2.0,60.0,90.0,2.0,1001.5688509927946,1.4879101509809516,673137.991788334,-328430.85920446046,-1001568.8509927946,673.137991788334,-328.43085920446043,-1001.5688509927946
57.78768517431945,20.0,2.0,2.0,60.0,90.0,2.0,1001.9387359344141,1.4605739324076719,685989.7425957589,-315948.9933386552,-1001938.7359344141,685.9897425957589,-315.9489933386552,-1001.9387359344141
56.65652612764103,20.0,2.0,2.0,60.0,90.0,2.0,1001.0167643083581,1.4412816885761626,694532.3542528729,-306484.41005548503,-1001016.7643083581,694.5323542528729,-306.48441005548506,-1001.0167643083581
56.39533987374665,20.0,2.0,2.0,60.0,90.0,2.0,1000.1910233567052,1.437279390071765,695891.8567021019,-304299.1666546035,-1000191.0233567052,695.8918567021019,-304.2991666546035,-1000.1910233567052
56.52696833189151,20.0,2.0,2.0,60.0,90.0,2.0,996.8836152507345,1.4416599805811985,691483.1712598733,-305400.4439908612,-996883.6152507345,691.4831712598733,-305.40044399086116,-996.8836152507345
56.730389248825816,20.0,2.0,2.0,60.0,90.0,2.0,986.2245746697764,1.4522049442094243,679122.1711524153,-307102.403517361,-986224.5746697764,679.1221711524154,-307.102403517361,-986.2245746697764
57.262326859916925,20.0,2.0,2.0,60.0,90.0,2.0,966.8342610843724,1.475449527977352,655281.1483899252,-311553.11269444705,-966834.2610843724,655.2811483899252,-311.55311269444707,-966.8342610843724
57.72405126766,20.0,2.0,2.0,60.0,90.0,2.0,966.4474311792427,1.4844878048785008,651030.8996835055,-315416.5314957369,-966447.4311792427,651.0308996835055,-315.41653149573693,-966.4474311792427
57.4991175271885,20.0,2.0,2.0,60.0,90.0,2.0,970.0291571197127,1.4775885962551167,656494.7506892034,-313534.40643050947,-970029.1571197128,656.4947506892033,-313.5344064305095,-970.0291571197127
57.19128292874325,20.0,2.0,2.0,60.0,90.0,2.0,970.638495085538,1.471378187409398,659679.8181400975,-310958.67694544053,-970638.495085538,659.6798181400975,-310.9586769454405,-970.638495085538
56.75566587458093,20.0,2.0,2.0,60.0,90.0,2.0,970.4065714288877,1.4634554034987814,663092.6840058613,-307313.8874230262,-970406.5714288877,663.0926840058613,-307.3138874230262,-970.4065714288877
56.976684391276535,20.0,2.0,2.0,60.0,90.0,2.0,971.7128721937515,1.4666262738231743,662549.750769641,-309163.1214241103,-971712.8721937515,662.549750769641,-309.16312142411033,-971.7128721937515
57.333146143011106,20.0,2.0,2.0,60.0,90.0,2.0,970.7354659659942,1.4739606899218953,658589.7932036662,-312145.67276232806,-970735.4659659942,658.5897932036662,-312.14567276232805,-970.7354659659942
57.87971109991423,20.0,2.0,2.0,60.0,90.0,2.0,966.9337107085194,1.4870991759764178,650214.6772246297,-316719.03348388965,-966933.7107085193,650.2146772246297,-316.71903348388963,-966.9337107085194
57.80078997345373,20.0,2.0,2.0,60.0,90.0,2.0,967.652333414915,1.4850548077254637,651593.6842068398,-316058.64920807525,-967652.333414915,651.5936842068397,-316.0586492080752,-967.652333414915
60.1785089586175,20.0,2.0,2.0,60.0,90.0,2.0,970.8034705268313,1.5291937160008207,634846.6256228784,-335956.8449039529,-970803.4705268313,634.8466256228784,-335.9568449039529,-970.8034705268313
